,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Quartile rank,Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
122,143,Madagascar,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,3,143.9533,143.6968,37.1228,36.6786,4.6248,5.0271,4733.726,1534.273,121.818
123,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,3,102.9541,106.6618,64.5405,47.5587,10.9438,7.277,367.931,136.497,21.664
124,145,Burundi,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,3,126.1978,126.1056,50.8927,49.7494,3.7436,8.7222,2126.173,665.1160000000001,61.724
125,146,Zimbabwe,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,3,97.9307,99.4543,46.6504,47.5785,8.0387,8.941,2663.187,957.461,135.575
126,148,Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,3,103.5168,107.1773,81.8535,75.0162,27.1751,18.8829,340.7,168.22,49.443999999999996
127,150,Malawi,3.41,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,3,142.3735,137.5486,37.0018,39.2834,0.6044,0.9470000000000001,4433.977,998.94,12.203
128,151,Yemen,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,3,86.0532,98.5701,42.8198,58.8822,6.0707,13.7438,3900.134,1915.871,267.498
129,152,Rwanda,3.3339999999999996,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,3,132.7576,134.0964,40.2957,35.944,7.1783,8.1138,2540.374,610.972,80.773
130,154,Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025,3,84.1501,122.7469,39.6317,69.1179,3.5854,14.5808,6358.778,2907.8008,370.61
131,155,Central African Republic,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,3,91.5495,119.9783,13.972000000000001,21.1773,1.5647,4.3319,813.7669999999999,137.844,12.522
